"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Akil Baddoo","DET","47","0","4","123","96","160","16","98","2",".654","6.5%","0.9","86.5","22168"
"Shohei Ohtani","LAA","54","0","0","138","100","23","39","94","4",".699","10.0%","-0.2","93.8","19755"
"Austin Slater","SFG","29","2","1","81","137","41","161","95","3",".706","15.8%","0.2","88.8","16153"
"Brandon Crawford","SFG","46","1","0","97","77","130","66","95","1",".685","3.0%","-0.1","89.9","5343"
"Yonathan Daza","COL","48","0","0","114","74","75","60","78","0",".691","0.0%","-1.1","81.0","15794"
"Corbin Carroll","ARI","43","1","1","96","134","56","132","91","1",".689","3.8%","0.1","84.8","25878"
"Alan Trejo","COL","34","1","1","114","104","35","78","78","0",".688","0.0%","-0.5","87.6","20056"
"Owen Miller","CLE","21","1","0","58","107","179","149","94","2",".675","15.4%","-0.1","90.2","24655"
"Jo Adell","LAA","36","1","0","134","188","35","118","92","2",".690","10.5%","-0.2","86.0","20220"
"Juan Yepez","STL","42","1","0","100","84","57","97","95","2",".686","6.3%","-0.5","81.3","18400"
"Alec Burleson","STL","27","1","1","86","115","133","108","95","4",".671","23.5%","0.0","90.1","27615"
"Corey Seager","TEX","42","2","0","83","96","30","134","93","4",".687","12.9%","-0.2","89.8","13624"
"Sergio Alcantara","ARI","32","1","1","108","138","75","111","89","1",".695","5.0%","-0.2","87.3","16417"
"Adolis Garcia","TEX","51","2","1","99","150","49","146","93","6",".709","20.0%","-0.3","92.2","19287"
"Keston Hiura","MIL","27","0","0","132","180","133","108","89","2",".671","15.4%","-0.7","91.7","20003"
"Amed Rosario","CLE","45","0","1","118","70","0","76","92","1",".698","2.6%","-0.7","89.5","15518"
"Gavin Sheets","CHW","38","2","0","90","130","66","130","91","2",".680","8.0%","-0.6","88.9","19901"
"Bryce Johnson","SFG","3","0","0","114","0","0","0","90","0",".667","0.0%","0.0","83.9","20002"
"Israel Pineda","WSN","3","0","0","172","147","0","0","87","0",".667","0.0%","0.0","88.2","22906"
"Bryson Stott","PHI","45","1","3","110","128","80","94","87","2",".679","6.9%","0.3","85.0","26294"
"Ke'Bryan Hayes","PIT","35","0","3","102","51","68","21","87","0",".633","0.0%","0.0","90.7","18577"
"Diego Castillo","PIT","16","0","0","106","83","0","129","86","0",".717","0.0%","-0.3","87.8","19906"
"Yuli Gurriel","HOU","39","0","0","105","46","64","54","89","0",".659","0.0%","-0.6","91.0","19198"
"Matt Thaiss","LAA","27","0","0","96","67","233","30","86","1",".643","5.6%","-0.5","90.8","19318"
"Adam Engel","CHW","19","0","0","144","142","0","37","87","2",".649","16.7%","-0.6","84.2","15082"
"Jason Vosler","SFG","33","0","0","114","134","109","46","87","1",".619","5.6%","-0.5","81.4","16686"
